x,y,z,yaw,V,a,dist,time
22081.29723,52853.23772,257.9,0.814313518,1.0,0.0,1151.2593696148954,1151.2593696148954
22084.56817,52856.70352,257.9,0.79409173,1.0,0.0,1156.0249564752546,1156.0249564752546
22087.88754,52860.08111,257.9,0.767925612,1.0,0.0,1160.760601247087,1160.760601247087
22091.29796,52863.37438,257.9,0.750234129,1.0,0.0,1165.5015496616254,1165.5015496616254
22094.80113,52866.63946,257.9,0.747919076,1.0,0.0,1170.2903853714074,1170.2903853714074
22098.32424,52869.90791,257.9,0.738567467,1.0,0.0,1175.0961183513632,1175.0961183513632
22101.84793,52873.11611,257.9,0.71629886,1.0,0.0,1179.8615079950432,1179.8615079950432
22105.43291,52876.23699,257.9,0.700754758,1.0,0.0,1184.6146094640596,1184.6146094640596
22109.06937,52879.30462,257.9,0.680844376,1.0,0.0,1189.3721503360377,1189.3721503360377
22112.77076,52882.30296,257.9,0.668097963,1.0,0.0,1194.1355871927283,1194.1355871927283
22116.50669,52885.25122,257.9,0.646171433,1.0,0.0,1198.8947268200639,1198.8947268200639
22120.31142,52888.12068,257.9,0.636473515,1.0,0.0,1203.6602038228975,1203.6602038228975
22124.17454,52890.97582,257.9,0.633477423,1.0,0.0,1208.4639024556163,1208.4639024556163
22128.04183,52893.81616,257.9,0.621096343,1.0,0.0,1213.2621795693,1213.2621795693
22131.909,52896.58338,257.9,0.59877559,1.0,0.0,1218.017440901475,1218.017440901475
22135.86427,52899.28223,257.9,0.598775185,1.0,0.0,1222.8057550197627,1222.8057550197627
22139.83635,52901.99254,257.9,0.586717014,1.0,0.0,1227.614413857998,1227.614413857998
22143.78205,52904.61567,257.9,0.555716792,1.0,0.0,1232.352489362557,1232.352489362557
22147.80592,52907.11449,257.9,0.540752953,1.0,0.0,1237.0891159225976,1237.0891159225976
22151.90121,52909.57353,257.9,0.529978605,1.0,0.0,1241.8659640367537,1241.8659640367537
22156.0281,52911.99143,257.9,0.529085137,1.0,0.0,1246.6490029747197,1246.6490029747197
22160.2149,52914.4394,257.9,0.529084451,1.0,0.0,1251.4989361042485,1251.4989361042485
22164.38737,52916.87899,257.9,0.520100526,1.0,0.0,1256.332268833224,1256.332268833224
22168.4829,52919.22448,257.9,0.48615349,1.0,0.0,1261.051875736451,1261.051875736451
22172.68349,52921.44431,257.9,0.481259603,1.0,0.0,1265.8029389413568,1265.8029389413568
22176.94618,52923.67035,257.9,0.476204162,1.0,0.0,1270.611866068867,1270.611866068867
22181.19768,52925.86326,257.9,0.458755932,1.0,0.0,1275.3955996022182,1275.3955996022182
22185.4505,52927.96372,257.9,0.433704177,1.0,0.0,1280.1388485060802,1280.1388485060802
22189.7823,52929.96982,257.9,0.431217688,1.0,0.0,1284.9126235793315,1284.9126235793315
22194.13215,52931.97118,257.9,0.413397953,1.0,0.0,1289.7008003588717,1289.7008003588717
22198.51461,52933.89366,257.9,0.409635245,1.0,0.0,1294.486391754089,1294.486391754089
22202.88114,52935.7896,257.9,0.381763503,1.0,0.0,1299.2467670254837,1299.2467670254837
22207.31497,52937.5696,257.9,0.381763578,1.0,0.0,1304.0245540099468,1304.0245540099468
22211.75215,52939.35095,257.9,0.356199946,1.0,0.0,1308.8059527775563,1308.8059527775563
22216.22637,52941.01567,257.9,0.356197009,1.0,0.0,1313.5798335141062,1313.5798335141062
22220.72539,52942.68961,257.9,0.341558451,1.0,0.0,1318.38017267754,1318.38017267754
22225.24124,52944.29495,257.9,0.338341841,1.0,0.0,1323.1728773146008,1323.1728773146008
22229.75219,52945.88224,257.9,0.318116217,1.0,0.0,1327.9549437556475,1327.9549437556475
22234.28817,52947.37593,257.9,0.311670742,1.0,0.0,1332.7305300418027,1332.7305300418027
22238.8476,52948.84485,257.9,0.298744381,1.0,0.0,1337.5207417168028,1337.5207417168028
22243.42355,52950.25406,257.9,0.291252816,1.0,0.0,1342.3087675340453,1342.3087675340453
22247.98406,52951.6212,257.9,0.264996705,1.0,0.0,1347.0697887732017,1347.0697887732017
22252.59093,52952.87141,257.9,0.26354724,1.0,0.0,1351.8432860488888,1351.8432860488888
22257.20907,52954.11749,257.9,0.242283648,1.0,0.0,1356.6265832825984,1356.6265832825984
22261.82252,52955.25765,257.9,0.225759709,1.0,0.0,1361.3788338786962,1361.3788338786962
22266.47776,52956.32685,257.9,0.216067292,1.0,0.0,1366.1552811041554,1366.1552811041554
22271.16958,52957.35666,257.9,0.212942025,1.0,0.0,1370.958788525665,1370.958788525665
22275.86532,52958.37198,257.9,0.203649768,1.0,0.0,1375.7630417298587,1375.7630417298587
22280.53821,52959.33699,257.9,0.184259674,1.0,0.0,1380.534534709229,1380.534534709229
22285.22103,52960.20975,257.9,0.171086429,1.0,0.0,1385.2979907203637,1385.2979907203637
22289.92236,52961.02202,257.9,0.155326134,1.0,0.0,1390.0689745100858,1390.0689745100858
22294.64545,52961.7616,257.9,0.146971735,1.0,0.0,1394.849618580135,1394.849618580135
22299.36488,52962.46026,257.9,0.126337397,1.0,0.0,1399.6204827912095,1399.6204827912095
22304.10252,52963.06201,257.9,0.120361501,1.0,0.0,1404.3961854444424,1404.3961854444424
